cy,fill,radius,cx
228.81,#ffe62d,5.20,392.74
209.97,#ff84e2,5.20,393.86
155.61,#ff84e2,5.20,258.35
158.17,#ff84e2,5.20,251.3
394.66,#1481e3,5.20,253.57
200.01,#ff84e2,5.20,402.2100
221.11,#ffe62d,5.20,413.88
131.95,#1481e3,5.20,253.7300
140.66,#1481e3,5.20,324.74
156.23,#ff84e2,5.20,218.6700
172.81,#ffe62d,5.20,204.75
119.43,#1481e3,5.20,269.12
108.73,#ff84e2,5.20,273.21
466.09,#ffe62d,5.20,291.54
467.15,#ff84e2,5.20,275.96
193.64,#ffe62d,5.20,128.5299
479.36,#ff84e2,5.20,280.41
74.05,#ff84e2,5.20,292.52
66.53,#ffe62d,5.20,249.87
494.75,#ff84e2,5.20,238.12
